"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"FRA","STINT","TOT","PC_PA","Q","2005-Q3",2.130333,
"FRA","STINT","TOT","PC_PA","Q","2005-Q4",2.343467,
"FRA","STINT","TOT","PC_PA","Q","2006-Q1",2.611567,
"FRA","STINT","TOT","PC_PA","Q","2006-Q2",2.8895,
"FRA","STINT","TOT","PC_PA","Q","2006-Q3",3.221367,
"FRA","STINT","TOT","PC_PA","Q","2006-Q4",3.594467,
"FRA","STINT","TOT","PC_PA","Q","2007-Q1",3.820333,
"FRA","STINT","TOT","PC_PA","Q","2007-Q2",4.064833,
"FRA","STINT","TOT","PC_PA","Q","2007-Q3",4.5005,
"FRA","STINT","TOT","PC_PA","Q","2007-Q4",4.724767,
"FRA","STINT","TOT","PC_PA","Q","2008-Q1",4.48,
"FRA","STINT","TOT","PC_PA","Q","2008-Q2",4.860466,
"FRA","STINT","TOT","PC_PA","Q","2008-Q3",4.9818,
"FRA","STINT","TOT","PC_PA","Q","2008-Q4",4.214667,
"FRA","STINT","TOT","PC_PA","Q","2009-Q1",2.0117,
"FRA","STINT","TOT","PC_PA","Q","2009-Q2",1.310633,
"FRA","STINT","TOT","PC_PA","Q","2009-Q3",0.8692,
"FRA","STINT","TOT","PC_PA","Q","2009-Q4",0.7219,
"FRA","STINT","TOT","PC_PA","Q","2010-Q1",0.6621667,
"FRA","STINT","TOT","PC_PA","Q","2010-Q2",0.6862667,
"FRA","STINT","TOT","PC_PA","Q","2010-Q3",0.8749334,
"FRA","STINT","TOT","PC_PA","Q","2010-Q4",1.020467,
"FRA","STINT","TOT","PC_PA","Q","2011-Q1",1.093133,
"FRA","STINT","TOT","PC_PA","Q","2011-Q2",1.411633,
"FRA","STINT","TOT","PC_PA","Q","2011-Q3",1.562067,
"FRA","STINT","TOT","PC_PA","Q","2011-Q4",1.495567,
"FRA","STINT","TOT","PC_PA","Q","2012-Q1",1.043,
"FRA","STINT","TOT","PC_PA","Q","2012-Q2",0.6960334,
"FRA","STINT","TOT","PC_PA","Q","2012-Q3",0.3585667,
"FRA","STINT","TOT","PC_PA","Q","2012-Q4",0.1951333,
"FRA","STINT","TOT","PC_PA","Q","2013-Q1",0.2114667,
"FRA","STINT","TOT","PC_PA","Q","2013-Q2",0.2068,
"FRA","STINT","TOT","PC_PA","Q","2013-Q3",0.2235,
